,share_name_index,company_name,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,rating_count,Headquarters,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
0,"A [NYSE, S&P 500]","Agilent Technologies, Inc.",USA,Diagnostics & Research,43.86B,48.58,1.49M,-31.60%,11.34%,4.3,,"Santa Clara, CA",10000+ Employees,1999,$2 to $5 billion (USD),87,97
1,AA [NYSE],Alcoa Corporation,USA,Aluminum,6.00B,31.48,6.70M,85.00%,-6.05%,3.8,,"Pittsburgh, PA",10000+ Employees,1888,$10+ billion (USD),81,83
2,AAAU [NYSE],Goldman Sachs Physical Gold ETF,USA,Exchange Traded Fund,-,-,426.64K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
3,AAC [NYSE],Ares Acquisition Corporation,USA,Shell Companies,1.22B,8.3,302.95K,-,-,-1,,"New York, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
4,AACG [NASD],ATA Creativity Global,China,Education & Training Services,95.71M,-,368.12K,40.00%,-,3.5,,"Cyberjaya, Malaysia",51 to 200 Employees,null,Unknown / Non-Applicable,82,-1
5,AACQ [NASD],Artius Acquisition Inc.,USA,Shell Companies,894.70M,-,1.32M,-,-33.30%,-1,-1,-1,-1,-1,-1,-1,-1
6,AADR [NASD],AdvisorShares Dorsey Wright ADR ETF,USA,Exchange Traded Fund,-,59.45,3.73K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
7,AAIC [NYSE],Arlington Asset Investment Corp.,USA,REIT - Mortgage,132.24M,-,215.19K,-743.40%,44.69%,2,,"Arlington, VA",1 to 50 Employees,null,$50 to $100 million (USD),0,0
8,"AAL [NASD, S&P 500]",American Airlines Group Inc.,USA,Airlines,14.25B,-,34.78M,-583.80%,97.70%,2.9,,"Louisville, KY",1001 to 5000 Employees,1921,$1 to $2 billion (USD),40,81
9,AAMC [AMEX],Altisource Asset Management Corporation,USA,Asset Management,38.10M,-,14.88K,-33.70%,-,4,,"Christiansted, VI",51 to 200 Employees,null,Unknown / Non-Applicable,77,-1
10,AAME [NASD],Atlantic American Corporation,USA,Insurance - Life,81.31M,4.41,609.19K,-,-,2.4,,"Brookhaven, GA",51 to 200 Employees,1968,$100 to $500 million (USD),0,0
11,AAN [NYSE],"The Aaron's Company, Inc.",USA,Rental & Leasing Services,1.16B,-,290.35K,-6.00%,-0.53%,4.3,,"Piscataway, NJ",51 to 200 Employees,null,$25 to $50 million (USD),90,100
12,AAOI [NASD],"Applied Optoelectronics, Inc.",USA,Semiconductors,217.29M,12.56,566.51K,19.10%,65.50%,2.9,,"Sugar Land, TX",1001 to 5000 Employees,1997,$100 to $500 million (USD),32,42
13,AAON [NASD],"AAON, Inc.",USA,Building Products & Equipment,3.15B,12.27,135.18K,45.90%,16.60%,2.8,,"Tulsa, OK",1001 to 5000 Employees,1988,$100 to $500 million (USD),42,78
14,"AAP [NYSE, S&P 500]","Advance Auto Parts, Inc.",USA,Specialty Retail,12.42B,-,871.71K,4.40%,12.27%,3.3,,"Raleigh, NC",10000+ Employees,1932,$5 to $10 billion (USD),52,61
15,"AAPL [NASD, DJIA, S&P500]",Apple Inc.,USA,Consumer Electronics,2155.87B,-,88.06M,10.20%,2.98%,-1,-1,-1,-1,-1,-1,-1,-1
16,AAQC [NYSE],Accelerate Acquisition Corp.,USA,Shell Companies,389.20M,44.1,20.75K,-,-,-1,,"Short Hills, NJ",Unknown,null,Unknown / Non-Applicable,-1,-1
17,AAT [NYSE],"American Assets Trust, Inc.",USA,REIT - Diversified,2.21B,39.6,302.19K,-45.30%,112.27%,2.6,,"San Diego, CA",51 to 200 Employees,null,$100 to $500 million (USD),35,72
18,AAU [AMEX],Almaden Minerals Ltd.,Canada,Gold,70.24M,20.72,1.48M,20.80%,-,-1,,"Vancouver, Canada",1 to 50 Employees,null,Less than $1 million (USD),-1,-1
19,AAWW [NASD],"Atlas Air Worldwide Holdings, Inc.",USA,Airports & Air Services,1.93B,15.9,435.67K,218.90%,-22.87%,3.5,,"Purchase, NY",1001 to 5000 Employees,2001,$1 to $2 billion (USD),60,73
20,AAXJ [NASD],iShares MSCI All Country Asia ex Japan ETF,USA,Exchange Traded Fund,-,-,1.01M,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
21,AB [NYSE],AllianceBernstein Holding L.P.,USA,Asset Management,4.30B,-,380.44K,15.90%,9.35%,3.7,,"New York, NY",1001 to 5000 Employees,1967,$2 to $5 billion (USD),77,84
22,ABB [NYSE],ABB Ltd,Switzerland,Specialty Industrial Machinery,71.11B,14.36,1.41M,-71.60%,30.65%,3.9,,"Zürich, Switzerland",10000+ Employees,1883,$10+ billion (USD),82,90
23,"ABBV [NYSE, S&P 500]",AbbVie Inc.,USA,Drug Manufacturers - General,201.21B,11.67,6.74M,-48.50%,10.77%,4,,"North Chicago, IL",10000+ Employees,2013,$10+ billion (USD),79,89
24,"ABC [NYSE, S&P 500]",AmerisourceBergen Corporation,USA,Medical Distribution,23.72B,133.37,1.04M,-530.90%,16.92%,3.6,,"Conshohocken, PA",10000+ Employees,2001,$10+ billion (USD),68,89
25,ABCB [NASD],Ameris Bancorp,USA,Banks - Regional,3.47B,20.25,449.62K,37.00%,-19.49%,3.1,,"Moultrie, GA",1001 to 5000 Employees,1971,$100 to $500 million (USD),42,49
26,ABCL [NASD],AbCellera Biologics Inc.,Canada,Biotechnology,6.03B,39.94,1.37M,415.00%,-100.00%,4.8,,"Vancouver, Canada",51 to 200 Employees,null,Unknown / Non-Applicable,100,-1
27,ABCM [NASD],Abcam plc,United Kingdom,Biotechnology,4.26B,8.13,214.63K,-,-,4.5,,"Cambridge, United Kingdom",1001 to 5000 Employees,1998,$100 to $500 million (USD),95,98
28,ABEO [NASD],Abeona Therapeutics Inc.,USA,Biotechnology,171.12M,-,1.59M,40.00%,10.30%,3.7,,"New York, NY",51 to 200 Employees,2013,Unknown / Non-Applicable,-1,-1
29,ABEQ [NYSE],Absolute Core Strategy ETF,USA,Exchange Traded Fund,-,10.83,6.06K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
30,AAXJ [NASD],iShares MSCI All Country Asia ex Japan ETF,USA,Exchange Traded Fund,-,-,1.01M,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
31,AB [NYSE],AllianceBernstein Holding L.P.,USA,Asset Management,4.30B,-,380.44K,15.90%,9.35%,3.7,,"New York, NY",1001 to 5000 Employees,1967,$2 to $5 billion (USD),77,84
32,ABB [NYSE],ABB Ltd,Switzerland,Specialty Industrial Machinery,71.11B,14.36,1.41M,-71.60%,30.65%,3.9,,"Zürich, Switzerland",10000+ Employees,1883,$10+ billion (USD),82,90
33,"ABBV [NYSE, S&P 500]",AbbVie Inc.,USA,Drug Manufacturers - General,201.21B,11.67,6.74M,-48.50%,10.77%,4,,"North Chicago, IL",10000+ Employees,2013,$10+ billion (USD),79,89
34,"ABC [NYSE, S&P 500]",AmerisourceBergen Corporation,USA,Medical Distribution,23.72B,133.37,1.04M,-530.90%,16.92%,3.6,,"Conshohocken, PA",10000+ Employees,2001,$10+ billion (USD),68,89
