,share_name_index,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
0,"A [NYSE, S&P 500]",USA,Diagnostics & Research,43.86B,48.58,1.49M,32.50%,11.34%,4.3,10000+ Employees,1999,$2 to $5 billion (USD),87,97
1,AA [NYSE],USA,Aluminum,6.00B,31.48,6.70M,85.00%,6.05%,3.8,10000+ Employees,1888,$10+ billion (USD),81,83
7,AAIC [NYSE],USA,REIT - Mortgage,132.24M,-1,215.19K,-743.40%,44.69%,2,1 to 50 Employees,1996,$50 to $100 million (USD),0,0
8,"AAL [NASD, S&P 500]",USA,Airlines,14.25B,-1,34.78M,-583.80%,97.70%,2.9,1001 to 5000 Employees,1921,$1 to $2 billion (USD),40,81
11,AAN [NYSE],USA,Rental & Leasing Services,1.16B,-1,290.35K,40.20%,-0.53%,4.3,51 to 200 Employees,1996,$25 to $50 million (USD),90,100
12,AAOI [NASD],USA,Semiconductors,217.29M,12.56,566.51K,-19.10%,-65.50%,2.9,1001 to 5000 Employees,1997,$100 to $500 million (USD),32,42
13,AAON [NASD],USA,Building Products & Equipment,3.15B,12.27,135.18K,-45.90%,-16.60%,2.8,1001 to 5000 Employees,1988,$100 to $500 million (USD),42,78
14,"AAP [NYSE, S&P 500]",USA,Specialty Retail,12.42B,-1,871.71K,4.40%,12.27%,3.3,10000+ Employees,1932,$5 to $10 billion (USD),52,61
17,AAT [NYSE],USA,REIT - Diversified,2.21B,39.6,302.19K,-45.30%,112.27%,2.6,51 to 200 Employees,1996,$100 to $500 million (USD),35,72
19,AAWW [NASD],USA,Airports & Air Services,1.93B,15.9,435.67K,218.90%,22.87%,3.5,1001 to 5000 Employees,2001,$1 to $2 billion (USD),60,73
21,AB [NYSE],USA,Asset Management,4.30B,-1,380.44K,15.90%,9.35%,3.7,1001 to 5000 Employees,1967,$2 to $5 billion (USD),77,84
22,ABB [NYSE],Switzerland,Specialty Industrial Machinery,71.11B,14.36,1.41M,50.20%,30.65%,3.9,10000+ Employees,1883,$10+ billion (USD),82,90
23,"ABBV [NYSE, S&P 500]",USA,Drug Manufacturers - General,201.21B,11.67,6.74M,78.20%,10.77%,4,10000+ Employees,2013,$10+ billion (USD),79,89
24,"ABC [NYSE, S&P 500]",USA,Medical Distribution,23.72B,133.37,1.04M,45.20%,16.92%,3.6,10000+ Employees,2001,$10+ billion (USD),68,89
25,ABCB [NASD],USA,Banks - Regional,3.47B,20.25,449.62K,37.00%,19.49%,3.1,1001 to 5000 Employees,1971,$100 to $500 million (USD),42,49
26,ABCL [NASD],Canada,Biotechnology,6.03B,39.94,1.37M,415.00%,100.00%,4.8,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
28,ABEO [NASD],USA,Biotechnology,171.12M,-1,1.59M,40.00%,10.30%,3.7,51 to 200 Employees,2013,$100 to $500 million (USD),100,100
40,ABEV [NYSE],Brazil,Beverages - Brewers,58.08B,22.92,21.88M,-7.10%,7.70%,4.2,10000+ Employees,1999,$10+ billion (USD),87,74
41,ABG [NYSE],USA,Auto & Truck Dealerships,3.03B,26.36,167.12K,38.00%,-1.62%,3.7,5001 to 10000 Employees,1995,$5 to $10 billion (USD),61,65
43,ABIO [NASD],USA,Biotechnology,52.20M,9.4,316.46K,-50.20%,0.00%,2.5,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
44,ABM [NYSE],USA,Specialty Business Services,2.95B,-1,421.69K,99.80%,3.06%,3.1,10000+ Employees,1909,$5 to $10 billion (USD),44,51
45,"ABMD [NASD, S&P 500]",USA,Medical Devices,14.38B,-1,269.20K,11.40%,19.70%,3.5,1001 to 5000 Employees,1981,$100 to $500 million (USD),65,78
46,ABNB [NASD],USA,Internet Content & Information,91.33B,-1,7.26M,87.10%,93.00%,4.2,5001 to 10000 Employees,2008,$100 to $500 million (USD),85,88
47,ABR [NYSE],USA,REIT - Mortgage,2.32B,-1,1.55M,100.20%,1.05%,3.6,201 to 500 Employees,1993,$100 to $500 million (USD),68,73
49,"ABT [NYSE, S&P 500]",USA,Medical Devices,196.46B,13.71,6.14M,24.50%,6.72%,3.9,10000+ Employees,1888,$10+ billion (USD),72,92
50,ABTX [NASD],USA,Banks - Regional,778.65M,13.13,55.38K,10.30%,-20.12%,4.6,501 to 1000 Employees,2007,$5 to $10 billion (USD),84,100
51,ABUS [NASD],USA,Biotechnology,317.07M,13.93,1.29M,65.40%,14.60%,3.1,51 to 200 Employees,1996,$10 to $25 million (USD),47,18
52,AC [NYSE],USA,Capital Markets,824.73M,-1,16.80K,-52.30%,0.00%,2.2,1 to 50 Employees,1978,$1 to $5 million (USD),28,43
53,ACA [NYSE],USA,Infrastructure Operations,2.66B,-1,259.55K,5.90%,28.53%,3.3,5001 to 10000 Employees,1996,$100 to $500 million (USD),44,66
55,ACAD [NASD],USA,Biotechnology,4.15B,-1,2.06M,12.00%,37.10%,4.5,501 to 1000 Employees,1993,$100 to $500 million (USD),90,88
60,ACC [NYSE],USA,REIT - Residential,6.60B,1330.56,866.71K,15.00%,345.00%,3.8,1001 to 5000 Employees,1993,$500 million to $1 billion (USD),76,88
61,ACCD [NASD],USA,Health Information Services,3.07B,107.64,791.28K,9.10%,10.00%,3.4,1001 to 5000 Employees,2007,$50 to $100 million (USD),57,76
62,ACCO [NYSE],USA,Business Equipment & Supplies,783.11M,-1,524.47K,40.00%,23.11%,3.5,5001 to 10000 Employees,1903,$1 to $2 billion (USD),76,75
63,ACEL [NYSE],USA,Gambling,1.11B,-1,246.09K,178.10%,25.98%,3.7,501 to 1000 Employees,2009,$100 to $500 million (USD),70,83
64,ACER [NASD],USA,Biotechnology,40.49M,23.71,293.53K,29.40%,27.70%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
66,ACET [NASD],USA,Biotechnology,339.91M,-1,114.98K,70.30%,8.40%,3.1,1 to 50 Employees,1996,Less than $1 million (USD),55,80
69,ACGL [NASD],Bermuda,Insurance - Diversified,14.88B,-1,1.62M,14.20%,28.89%,3.7,1001 to 5000 Employees,2000,$10+ billion (USD),56,89
70,ACH [NYSE],China,Aluminum,11.49B,117.91,170.37K,25.10%,0.00%,4.4,10000+ Employees,1996,$10+ billion (USD),100,100
71,ACHC [NASD],USA,Medical Care Facilities,5.47B,-1,439.54K,-169.00%,14.32%,2.9,10000+ Employees,2005,$2 to $5 billion (USD),46,43
72,ACHL [NASD],United Kingdom,Biotechnology,471.76M,37.63,100.15K,138.20%,0.00%,3.9,201 to 500 Employees,2016,$100 to $500 million (USD),66,100
73,ACHV [NASD],Canada,Biotechnology,69.33M,21.97,124.50K,86.40%,29.50%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
74,ACI [NYSE],USA,Grocery Stores,9.30B,-1,1.60M,83.00%,3.04%,3.4,10000+ Employees,1939,$10+ billion (USD),56,74
78,ACIU [NASD],Switzerland,Biotechnology,540.83M,13.5,467.84K,235.10%,87.10%,3,1 to 50 Employees,1996,$100 to $500 million (USD),35,35
79,ACIW [NASD],USA,Software - Infrastructure,4.38B,9.59,572.15K,8.80%,10.96%,3.7,1001 to 5000 Employees,1975,$1 to $2 billion (USD),69,78
82,ACLS [NASD],USA,Semiconductor Equipment & Materials,1.28B,-1,301.68K,190.80%,32.31%,3.8,501 to 1000 Employees,1995,$100 to $500 million (USD),77,75
83,ACM [NYSE],USA,Engineering & Construction,8.66B,-1,870.50K,19.60%,17.00%,3.6,10000+ Employees,1990,$10+ billion (USD),66,75
84,ACMR [NASD],USA,Semiconductor Equipment & Materials,1.83B,23.89,289.32K,10.20%,57.31%,5,1001 to 5000 Employees,1998,$100 to $500 million (USD),100,100
85,"ACN [NYSE, S&P 500]",Ireland,Information Technology Services,186.37B,14.94,1.95M,7.30%,10.80%,4,10000+ Employees,1989,$10+ billion (USD),82,91
86,ACNB [NASD],USA,Banks - Regional,240.66M,-1,21.24K,-36.60%,0.00%,2,201 to 500 Employees,1983,$50 to $100 million (USD),0,0
88,ACOR [NASD],USA,Biotechnology,41.83M,96.63,237.34K,64.30%,39.10%,3.9,201 to 500 Employees,1995,$100 to $500 million (USD),61,56
93,ACRE [NYSE],USA,REIT - Mortgage,580.02M,-1,493.18K,-48.70%,2.67%,3.2,501 to 1000 Employees,1996,$50 to $100 million (USD),50,100
94,ACRS [NASD],USA,Biotechnology,1.02B,202.62,714.07K,56.20%,4.10%,4,51 to 200 Employees,2012,$1 to $5 million (USD),56,100
95,ACRX [NASD],USA,Drug Manufacturers - Specialty & Generic,162.28M,12.38,1.91M,29.60%,133.30%,3,1 to 50 Employees,1996,$10 to $25 million (USD),100,100
101,ACU [AMEX],USA,Household & Personal Products,145.75M,-1,26.18K,-9.10%,12.70%,2.4,201 to 500 Employees,1867,$100 to $500 million (USD),36,32
103,ACVA [NASD],USA,Software - Application,3.67B,15.36,911.22K,46.90%,20.30%,3.6,1001 to 5000 Employees,2014,$100 to $500 million (USD),65,78
109,ADAG [NASD],China,Biotechnology,618.24M,-1,42.66K,-207.40%,-34.80%,2,51 to 200 Employees,1996,$100 to $500 million (USD),0,100
110,"ADM [NYSE, S&P 500]",USA,Farm Products,34.52B,16.51,2.61M,24.80%,-1.29%,4,10000+ Employees,1902,$10+ billion (USD),82,90
111,ADMA [NASD],USA,Biotechnology,224.17M,-1,6.96M,-1.00%,45.60%,2.8,201 to 500 Employees,1996,$100 to $500 million (USD),43,40
113,ADMP [NASD],USA,Drug Manufacturers - Specialty & Generic,156.46M,-1,8.12M,-23.30%,13.00%,1,51 to 200 Employees,1996,$10 to $25 million (USD),0,0
114,ADMS [NASD],USA,Drug Manufacturers - Specialty & Generic,247.21M,-1,352.06K,46.60%,72.80%,3.7,51 to 200 Employees,2000,$25 to $50 million (USD),58,100
116,ADNT [NYSE],Ireland,Auto Parts,3.73B,-1,813.88K,11.20%,54.12%,3.5,10000+ Employees,2016,$100 to $500 million (USD),69,77
118,"ADP [NASD, S&P 500]",USA,Staffing & Employment Services,82.25B,-1,1.80M,8.50%,9.74%,4,10000+ Employees,1949,$10+ billion (USD),78,93
119,ADPT [NASD],USA,Biotechnology,5.42B,-1,926.16K,100.50%,-3.10%,3.7,501 to 1000 Employees,2009,$100 to $500 million (USD),47,75
121,ADS [NYSE],USA,Credit Services,5.11B,-1,829.16K,42.20%,-5.11%,3.3,10000+ Employees,1996,$5 to $10 billion (USD),65,89
122,"ADSK [NASD, S&P 500]",USA,Software - Application,61.16B,9.15,1.15M,440.10%,41.54%,4.2,10000+ Employees,1982,$2 to $5 billion (USD),87,97
123,ADT [NYSE],USA,Security & Protection Services,8.85B,7.09,3.74M,-43.50%,19.94%,3.2,10000+ Employees,1874,$2 to $5 billion (USD),52,64
124,ADTN [NASD],USA,Communication Equipment,951.17M,47.59,222.16K,104.40%,23.65%,3.7,1001 to 5000 Employees,1985,$500 million to $1 billion (USD),71,76
126,ADUS [NASD],USA,Medical Care Facilities,1.30B,-1,92.19K,14.60%,13.57%,3.3,10000+ Employees,1972,$100 to $500 million (USD),58,57
127,ADV [NASD],USA,Advertising Agencies,3.73B,12.76,432.68K,50.20%,16.18%,3.6,10000+ Employees,1987,$2 to $5 billion (USD),68,79
