,Unnamed: 0,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index,this_next_EPS,recomend_rating
0,0,1,35,43860000000.0,1,1490000,320.5,123.6,4.3,1,1999,5,4.35,4.85,1,2,444.1,8.649999999999999
1,1,1,5,6000000000.0,1,6700000,85.0,6.05,3.8,1,1888,3,4.05,4.15,0,2,91.05,7.85
2,2,1,102,132240000.0,0,215190,-743.4,44.69,2.0,0,1996,9,0.0,0.0,0,2,-698.71,2.0
3,3,1,3,14250000000.0,0,34780000,-583.8,97.7,2.9,2,1921,0,2.0,4.05,1,1,-486.09999999999997,4.9
4,4,1,112,1160000000.0,0,290350,320.5,443.6,4.3,6,1996,6,4.5,5.0,0,2,764.1,8.8
5,5,1,119,217290000.0,1,566510,-19.1,-65.5,2.9,2,1997,4,1.6,2.1,0,1,-84.6,4.5
6,6,1,20,3150000000.0,1,135180,-45.9,-16.6,2.8,2,1988,4,2.1,3.9,0,1,-62.5,4.9
7,7,1,127,12420000000.0,0,871710,4.4,12.27,3.3,1,1932,7,2.6,3.05,1,2,16.67,5.9
8,8,1,98,2210000000.0,1,302190,-45.3,21.4,2.6,6,1996,4,1.75,3.6,0,2,-23.9,4.35
9,9,1,4,1930000000.0,1,435670,218.9,22.87,3.5,2,2001,0,3.0,3.65,0,1,241.77,6.5
10,10,1,8,4300000000.0,0,380440,15.9,9.35,3.7,2,1967,5,3.85,4.2,0,2,25.25,7.550000000000001
11,11,0,126,71110000000.0,1,1410000,320.5,30.65,3.9,1,1883,3,4.1,4.5,0,2,351.15,8.0
12,12,1,37,201000000000.0,1,6740000,78.2,361.2,4.0,1,2013,3,3.95,4.45,1,2,439.4,7.95
13,13,1,79,23720000000.0,1,1040000,45.2,16.92,3.6,1,2001,3,3.4,4.45,1,2,62.120000000000005,7.0
14,14,1,13,3470000000.0,1,449620,37.0,19.49,3.1,2,1971,4,2.1,2.45,0,1,56.489999999999995,5.2
15,15,0,17,6030000000.0,1,1370000,320.5,498.5,4.8,6,1996,4,5.0,5.0,0,1,819.0,9.8
16,16,1,17,171120000.0,0,1590000,320.5,10.3,3.7,6,2013,4,5.0,5.0,0,1,330.8,8.7
17,17,0,14,58080000000.0,1,21880000,320.5,285.63,4.2,1,1999,3,4.35,3.7,0,2,606.13,8.55
18,18,1,9,3030000000.0,1,167120,38.0,-1.62,3.7,4,1995,7,3.05,3.25,0,2,36.38,6.75
19,19,1,17,52200000.0,1,316460,320.5,0.0,2.5,0,1996,1,5.0,5.0,0,1,320.5,7.5
20,20,1,124,2950000000.0,0,421690,99.8,3.06,3.1,1,1909,7,2.2,2.55,0,2,102.86,5.300000000000001
21,21,1,78,14380000000.0,0,269200,11.4,19.7,3.5,2,1981,4,3.25,3.9,1,1,31.1,6.75
22,22,1,70,91330000000.0,0,7260000,320.5,471.95,4.2,4,2008,4,4.25,4.4,0,1,792.45,8.45
23,23,1,102,2320000000.0,0,1550000,100.2,1.05,3.6,3,1993,4,3.4,3.65,0,2,101.25,7.0
24,24,1,78,196000000000.0,1,6140000,24.5,6.72,3.9,1,1888,3,3.6,4.6,1,2,31.22,7.5
25,25,1,13,778650000.0,1,55380,320.5,498.5,4.6,5,2007,7,4.2,5.0,0,1,819.0,8.8
26,26,1,17,317070000.0,1,1290000,65.4,14.6,3.1,6,1996,2,2.35,0.9,0,1,80.0,5.45
27,27,1,22,824730000.0,0,16800,-52.3,0.0,2.2,0,1978,1,1.4,2.15,0,2,-52.3,3.6
28,28,1,62,2660000000.0,0,259550,5.9,28.53,3.3,4,1996,4,2.2,3.3,0,2,34.43,5.5
29,29,1,17,4150000000.0,0,2060000,320.5,373.3,4.5,5,1993,4,4.5,4.4,0,1,693.8,9.0
30,30,1,104,6600000000.0,1,866710,15.0,345.0,3.8,2,1993,10,3.8,4.4,0,2,360.0,7.6
31,31,1,56,3070000000.0,1,791280,9.1,10.0,3.4,2,2007,9,2.85,3.8,0,1,19.1,6.25
32,32,1,21,783110000.0,0,524470,40.0,23.11,3.5,4,1903,0,3.8,3.75,0,2,63.11,7.3
33,33,1,53,1110000000.0,0,246090,178.1,25.98,3.7,5,2009,4,3.5,4.15,0,2,204.07999999999998,7.2
34,34,1,17,40490000.0,1,293530,320.5,123.6,5.0,0,1996,4,5.0,5.0,0,1,444.1,10.0
35,35,1,17,339910000.0,0,114980,70.3,8.4,3.1,0,1996,11,2.75,4.0,0,1,78.7,5.85
36,36,0,63,14880000000.0,0,1620000,14.2,28.89,3.7,2,2000,3,2.8,4.45,0,1,43.09,6.5
37,37,0,5,11490000000.0,1,170370,320.5,254.3,4.4,1,1996,3,5.0,5.0,0,2,574.8,9.4
38,38,1,77,5470000000.0,0,439540,-169.0,14.32,2.9,1,2005,5,2.3,2.15,0,1,-154.68,5.199999999999999
