,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
0,1,35,43860000000.0,1,1490000.0,320.50,123.60,4.3,10000+ Employees,1999.0,$2 to $5 billion (USD),4.35,4.85,1,NYSE
1,1,5,6000000000.0,1,6700000.0,85.00,6.05,3.8,10000+ Employees,1888.0,$10+ billion (USD),4.05,4.15,0,NYSE
2,1,102,132240000.00000001,0,215190.0,-743.40,44.69,2.0,1 to 50 Employees,1996.0,$50 to $100 million (USD),0.0,0.0,0,NYSE
3,1,3,14250000000.0,0,34780000.0,-583.80,97.70,2.9,1001 to 5000 Employees,1921.0,$1 to $2 billion (USD),2.0,4.05,1,NASD
4,1,112,1160000000.0,0,290350.0,320.50,443.60,4.3,51 to 200 Employees,1996.0,$25 to $50 million (USD),4.5,5.0,0,NYSE
5,1,119,217290000.0,1,566510.0,-19.10,-65.50,2.9,1001 to 5000 Employees,1997.0,$100 to $500 million (USD),1.6,2.1,0,NASD
6,1,20,3150000000.0,1,135180.0,-45.90,-16.60,2.8,1001 to 5000 Employees,1988.0,$100 to $500 million (USD),2.1,3.9,0,NASD
7,1,127,12420000000.0,0,871710.0,4.40,12.27,3.3,10000+ Employees,1932.0,$5 to $10 billion (USD),2.6,3.05,1,NYSE
8,1,98,2210000000.0,1,302190.0,-45.30,21.40,2.6,51 to 200 Employees,1996.0,$100 to $500 million (USD),1.75,3.6,0,NYSE
9,1,4,1930000000.0,1,435670.0,218.90,22.87,3.5,1001 to 5000 Employees,2001.0,$1 to $2 billion (USD),3.0,3.65,0,NASD
10,1,8,4300000000.0,0,380440.0,15.90,9.35,3.7,1001 to 5000 Employees,1967.0,$2 to $5 billion (USD),3.85,4.2,0,NYSE
11,0,126,71110000000.0,1,1410000.0,320.50,30.65,3.9,10000+ Employees,1883.0,$10+ billion (USD),4.1,4.5,0,NYSE
12,1,37,201210000000.0,1,6740000.0,78.20,361.20,4.0,10000+ Employees,2013.0,$10+ billion (USD),3.95,4.45,1,NYSE
13,1,79,23720000000.0,1,1040000.0,45.20,16.92,3.6,10000+ Employees,2001.0,$10+ billion (USD),3.4,4.45,1,NYSE
14,1,13,3470000000.0,1,449620.0,37.00,19.49,3.1,1001 to 5000 Employees,1971.0,$100 to $500 million (USD),2.1,2.45,0,NASD
15,0,17,6030000000.0,1,1370000.0,320.50,498.50,4.8,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
