,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index_0,Index_1,Index_2
0,1,35,43860000000.0,1,1490000.0,-0.316,0.1134,4.3,1,1999.0,5,1,1,1,0,0,1
1,1,5,6000000000.0,1,6700000.0,0.85,-0.0605,3.8,1,1888.0,3,1,1,0,0,0,1
2,1,102,132240000.00000001,0,215190.0,-7.434,0.44689999999999996,2.0,0,1996.0,9,0,0,0,0,0,1
3,1,3,14250000000.0,0,34780000.0,-5.838,0.9770000000000001,2.9,2,1921.0,0,0,1,1,0,1,0
4,1,112,1160000000.0,0,290350.0,-0.06,-0.0053,4.3,6,1996.0,6,1,1,0,0,0,1
5,1,119,217290000.0,1,566510.0,0.19100000000000003,0.655,2.9,2,1997.0,4,0,0,0,0,1,0
6,1,20,3150000000.0,1,135180.0,0.459,0.166,2.8,2,1988.0,4,0,1,0,0,1,0
7,1,127,12420000000.0,0,871710.0,0.044000000000000004,0.1227,3.3,1,1932.0,7,0,0,1,0,0,1
8,1,98,2210000000.0,1,302190.0,-0.45299999999999996,1.1227,2.6,6,1996.0,4,0,0,0,0,0,1
9,1,4,1930000000.0,1,435670.0,2.189,-0.22870000000000001,3.5,2,2001.0,0,0,0,0,0,1,0
10,1,8,4300000000.0,0,380440.0,0.159,0.0935,3.7,2,1967.0,5,1,1,0,0,0,1
11,0,126,71110000000.0,1,1410000.0,-0.716,0.3065,3.9,1,1883.0,3,1,1,0,0,0,1
12,1,37,201210000000.0,1,6740000.0,-0.485,0.1077,4.0,1,2013.0,3,1,1,1,0,0,1
13,1,79,23720000000.0,1,1040000.0,-5.309,0.16920000000000002,3.6,1,2001.0,3,0,1,1,0,0,1
14,1,13,3470000000.0,1,449620.0,0.37,-0.1949,3.1,2,1971.0,4,0,0,0,0,1,0
15,0,17,6030000000.0,1,1370000.0,4.15,-1.0,4.8,6,1996.0,4,1,1,0,0,1,0
16,1,17,171120000.0,0,1590000.0,0.4,0.10300000000000001,3.7,6,2013.0,4,1,1,0,0,1,0
17,0,14,58080000000.0,1,21880000.0,-0.071,0.077,4.2,1,1999.0,3,1,0,0,0,0,1
18,1,9,3030000000.0,1,167120.0,0.38,-0.016200000000000003,3.7,4,1995.0,7,0,0,0,0,0,1
19,1,17,52200000.0,1,316460.0,0.502,0.0,2.5,0,1996.0,1,1,1,0,0,1,0
20,1,124,2950000000.0,0,421690.0,-0.998,-0.030600000000000002,3.1,1,1909.0,7,0,0,0,0,0,1
21,1,78,14380000000.0,0,269200.0,0.114,0.197,3.5,2,1981.0,4,0,1,1,0,1,0
22,1,70,91330000000.0,0,7260000.0,0.871,0.93,4.2,4,2008.0,4,1,1,0,0,1,0
23,1,102,2320000000.0,0,1550000.0,-0.04,0.0105,3.6,3,1993.0,4,0,0,0,0,0,1
24,1,78,196460000000.0,1,6140000.0,0.245,0.0672,3.9,1,1888.0,3,0,1,1,0,0,1
25,1,13,778650000.0,1,55380.0,-0.10300000000000001,-0.20120000000000002,4.6,5,2007.0,7,1,1,0,0,1,0
26,1,17,317070000.0,1,1290000.0,0.654,0.146,3.1,6,1996.0,2,0,0,0,0,1,0
27,1,22,824730000.0,0,16800.0,-0.523,0.0,2.2,0,1978.0,1,0,0,0,0,0,1
28,1,62,2660000000.0,0,259550.0,-0.059000000000000004,0.2853,3.3,4,1996.0,4,0,0,0,0,0,1
29,1,17,4150000000.0000005,0,2060000.0,-0.12,0.371,4.5,5,1993.0,4,1,1,0,0,1,0
30,1,104,6600000000.0,1,866710.0,-0.152,3.45,3.8,2,1993.0,10,1,1,0,0,0,1
31,1,56,3070000000.0,1,791280.0,0.091,0.1,3.4,2,2007.0,9,0,1,0,0,1,0
32,1,21,783110000.0,0,524470.0,-0.39,0.2311,3.5,4,1903.0,0,1,0,0,0,0,1
33,1,53,1110000000.0,0,246090.0,-1.777,0.25980000000000003,3.7,5,2009.0,4,0,1,0,0,0,1
34,1,17,40490000.0,1,293530.0,0.294,-0.277,5.0,0,1996.0,4,1,1,0,0,1,0
35,1,17,339910000.0,0,114980.0,0.703,-0.084,3.1,0,1996.0,11,0,1,0,0,1,0
36,0,63,14880000000.0,0,1620000.0,-0.142,0.2889,3.7,2,2000.0,3,0,1,0,0,1,0
37,0,5,11490000000.0,1,170370.0,-0.24300000000000002,0.0,4.4,1,1996.0,3,1,1,0,0,0,1
38,1,77,5470000000.0,0,439540.0,1.69,0.1432,2.9,1,2005.0,5,0,0,0,0,1,0
39,0,17,471760000.0,1,100150.0,-1.3730000000000002,0.0,3.9,3,2016.0,4,0,1,0,0,1,0
40,0,17,69330000.0,1,124500.0,0.8640000000000001,0.295,5.0,0,1996.0,4,1,1,0,0,1,0
41,1,55,9300000000.0,0,1600000.0,0.8300000000000001,0.0304,3.4,1,1939.0,3,0,0,0,0,0,1
42,0,17,540830000.0,1,467840.0,-2.3480000000000003,0.871,3.0,0,1996.0,4,0,0,0,0,1,0
43,1,122,4380000000.0,1,572150.0,0.08800000000000001,0.10960000000000002,3.7,2,1975.0,0,0,1,0,0,1,0
44,1,118,1280000000.0,0,301680.0,1.9080000000000001,0.32310000000000005,3.8,5,1995.0,4,1,0,0,0,1,0
45,1,44,8660000000.0,0,870500.0,-0.196,0.17,3.6,1,1990.0,3,0,0,0,0,0,1
46,1,118,1830000000.0,1,289320.0,-0.102,0.5731,5.0,2,1998.0,4,1,1,0,0,1,0
47,0,61,186370000000.0,1,1950000.0,0.073,0.10800000000000001,4.0,1,1989.0,3,1,1,1,0,0,1
48,1,13,240660000.0,1,21240.0,-0.36600000000000005,0.0,2.0,3,1983.0,9,0,0,0,0,1,0
49,1,17,41830000.0,1,237340.0,0.643,0.391,3.9,3,1995.0,4,0,0,0,0,1,0
50,1,102,580020000.0,0,493180.0,-0.48700000000000004,0.0267,3.2,5,1996.0,9,0,1,0,0,0,1
51,1,17,1020000000.0,1,714070.0,0.562,0.040999999999999995,4.0,6,2012.0,1,0,1,0,0,1,0
52,1,38,162280000.0,1,1910000.0,0.29600000000000004,1.3330000000000002,3.0,0,1996.0,2,1,1,0,0,1,0
53,1,59,145750000.0,1,26180.0,0.091,0.127,2.4,3,1867.0,4,0,0,0,1,0,0
54,1,121,3670000000.0,1,911220.0,0.469,0.203,3.6,2,2014.0,4,0,1,0,0,1,0
55,0,17,618240000.0,0,42660.0,-2.0740000000000003,-0.348,2.0,6,1996.0,4,0,1,0,0,1,0
56,1,47,34520000000.0,1,2610000.0,0.24800000000000003,-0.0129,4.0,1,1902.0,3,1,1,1,0,0,1
57,1,17,224170000.0,1,6960000.0,0.01,0.456,2.8,3,1996.0,4,0,0,0,0,1,0
58,1,38,156460000.0,0,8119999.999999999,-0.233,0.13,1.0,6,1996.0,2,0,0,0,0,1,0
59,1,38,247210000.0,0,352060.0,0.466,0.728,3.7,6,2000.0,6,0,1,0,0,1,0
60,0,11,3730000000.0,0,813880.0,-0.11199999999999999,0.5412,3.5,1,2016.0,4,0,1,0,0,0,1
61,1,128,82250000000.0,0,1800000.0,0.085,0.0974,4.0,1,1949.0,3,1,1,1,0,1,0
62,1,17,5420000000.0,0,926160.0,-1.006,-0.031000000000000003,3.7,5,2009.0,4,0,0,0,0,1,0
63,1,33,5110000000.0,0,829160.0,-0.41200000000000003,-0.051100000000000007,3.3,1,1996.0,7,0,1,0,0,0,1
64,1,121,61160000000.0,1,1150000.0,4.401000000000001,0.4154,4.2,1,1982.0,5,1,1,1,0,1,0
65,1,117,8850000000.0,1,3740000.0,-0.435,0.19940000000000002,3.2,1,1874.0,5,0,0,0,0,0,1
66,1,26,951170000.0,1,222160.0,1.044,0.2365,3.7,2,1985.0,10,0,1,0,0,1,0
67,1,77,1300000000.0,0,92190.0,0.146,0.13570000000000002,3.3,1,1972.0,4,0,0,0,0,1,0
